"curso","n","zeros","prop_zero","AIC_ZIUBXII","AIC_BETA","AIC_KUMA","BIC_ZIUBXII","BIC_BETA","BIC_KUMA","conv_ZIUBXII","conv_BETA","conv_KUMA","vencedor_AIC","vencedor_BIC"
"RELAÇÕES PÚBLICAS",39,4,0.103,3133625.808,-13.88,-23.02,3133630.799,-8.89,-18.029,FALSE,TRUE,TRUE,"KUMA","KUMA"
"ENGENHARIA DE PETRÓLEO",19,2,0.105,-0.049,-5.741,-5.624,2.785,-2.908,-2.79,TRUE,TRUE,TRUE,"BETA","BETA"
"ENGENHARIA ELETRÔNICA",28,7,0.25,291898.644,13.068,-3.546,291902.64,17.065,0.451,FALSE,TRUE,TRUE,"KUMA","KUMA"
"DANÇA",33,10,0.303,1678.064,19.053,-5.245,1682.554,23.542,-0.755,TRUE,TRUE,TRUE,"KUMA","KUMA"
"MECATRÔNICA INDUSTRIAL",36,7,0.194,27.386,22.203,22.409,32.137,26.954,27.159,TRUE,TRUE,TRUE,"BETA","BETA"
"ENGENHARIA MECATRÔNICA",31,4,0.129,295271.394,-3.901,-12.522,295275.696,0.401,-8.221,FALSE,TRUE,TRUE,"KUMA","KUMA"
"HOTELARIA",24,6,0.25,1128.469,13.305,-0.595,1132.003,16.839,2.94,TRUE,TRUE,TRUE,"KUMA","KUMA"
"COMPUTAÇÃO",32,6,0.188,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,"ZIUBXII","ZIUBXII"
"ESTATÍSTICA",35,7,0.2,0.907,2.381,-9.225,5.573,7.047,-4.559,TRUE,TRUE,TRUE,"KUMA","KUMA"
"TERAPIA OCUPACIONAL",29,8,0.276,NA,4.207,-19.112,NA,8.309,-15.01,FALSE,TRUE,TRUE,"KUMA","KUMA"
"EVENTOS",23,4,0.174,3.417,-0.763,-0.491,6.823,2.643,2.916,TRUE,TRUE,TRUE,"BETA","BETA"
"GESTÃO DE TURISMO",27,2,0.074,NA,-21.121,-21.461,NA,-17.233,-17.574,FALSE,TRUE,TRUE,"KUMA","KUMA"
"ENGENHARIA DA COMPUTAÇÃO",31,5,0.161,4707302.56,1.415,-14.706,4707306.862,5.717,-10.404,FALSE,TRUE,TRUE,"KUMA","KUMA"
"CINEMA E AUDIOVISUAL",30,10,0.333,NA,23.197,0.828,NA,27.4,5.031,FALSE,TRUE,TRUE,"KUMA","KUMA"
"GEOLOGIA",30,5,0.167,1800.157,-38.645,-38.077,1804.36,-34.442,-33.874,TRUE,TRUE,TRUE,"BETA","BETA"
